MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.6285,31.4,4.1315,0.9788,1473,2.4712,33.6387,-118.0289,2.524
1.8275,39.7,7.6166,1.7859,326,2.9864,35.7073,-123.2866,1.639
2.0881,34.6,3.1079,0.5,235,2.8768,41.4576,-115.6524,2.384
15.0,32.6,4.8865,1.6518,3511,1.7043,35.5704,-114.0739,5.0
1.9662,20.9,5.9979,1.8036,253,3.7887,37.4285,-120.6533,1.602
4.9322,40.5,5.4916,1.4686,258,1.8068,39.1787,-119.7365,2.586
2.3053,21.1,3.9092,0.8393,172,3.2131,35.9545,-117.0275,2.44
5.2361,39.6,5.7323,1.8061,166,3.7175,41.7319,-114.6599,2.533
1.8572,23.3,3.2809,0.9544,761,4.6792,41.6432,-115.112,1.9
3.2521,35.1,4.0764,0.7248,2549,4.3314,34.8919,-123.8953,1.906
4.2211,49.2,9.3584,2.4596,786,1.4945,37.2239,-122.7247,3.068
1.6401,35.9,6.3965,1.297,1128,4.4254,35.3583,-116.5767,1.839
15.0,45.0,4.9585,1.464,1563,2.9399,35.206,-117.2666,5.0
4.3783,23.5,5.9297,1.3904,59,1.6481,32.8504,-123.1012,2.315
2.3206,29.2,3.5877,0.7202,819,1.5034,38.2909,-119.2283,2.026
1.6685,23.7,5.5429,1.8494,1019,1.0821,37.2755,-116.3014,2.87
2.8985,8.1,4.1349,1.3734,177,1.0419,32.989,-122.2028,1.527
1.1604,40.8,3.9276,1.234,1324,1.567,35.1471,-115.3515,2.689
9.4651,34.8,4.7135,0.7974,401,1.0758,41.1285,-123.9438,4.621
3.6762,34.0,3.8941,1.1721,562,2.4125,34.7758,-116.287,2.834
2.5559,42.8,5.2408,0.8711,4371,1.8428,33.8765,-118.0339,2.408
5.653,14.4,5.8509,1.0,1847,3.3062,37.1498,-121.1904,3.592
1.6404,11.5,4.4409,0.8105,1221,4.451,41.8637,-116.9302,1.85
1.2103,42.9,1.583,0.5,1020,2.2074,34.7995,-116.2852,2.412
2.4816,27.2,3.4993,0.7937,277,1.259,38.8853,-114.6941,2.737
2.9721,30.6,3.2134,1.0242,381,1.7844,39.7354,-120.6384,3.217
3.9409,10.4,5.7438,1.7185,745,2.1925,34.7576,-117.2968,2.669
0.9672,45.7,3.6993,1.1227,240,5.2351,39.4181,-118.1725,1.904
1.975,36.1,4.0538,1.3628,292,1.1727,35.9939,-118.9853,2.004
0.5,21.1,6.9302,1.8635,353,3.4996,38.5069,-115.1506,1.978
1.1881,52.0,3.6247,1.1623,5488,4.3728,38.5185,-124.4667,1.34
4.4848,11.6,5.3717,1.0812,2161,3.9158,37.5899,-121.5378,2.415
5.3266,24.0,3.8685,1.2905,717,1.4714,33.3578,-118.8481,2.042
1.2221,39.8,4.1024,1.3861,212,2.2378,40.4354,-122.6279,1.811
2.1658,41.8,3.1099,0.7093,718,1.6968,35.5474,-114.9674,2.141
2.7674,10.1,4.0208,0.8714,596,1.5031,34.2719,-117.7003,2.914
5.7816,24.6,6.0683,1.2723,3742,3.3348,32.8874,-119.4822,3.068
7.9277,36.9,3.3669,0.8288,3130,2.42,38.1135,-115.9456,4.25
3.0257,45.7,3.7202,1.0506,264,2.2513,38.9369,-119.7657,2.416
2.265,44.7,11.8934,2.9893,1340,1.4158,32.6576,-118.6341,2.638
0.9895,36.4,5.4886,1.4024,373,1.5888,37.3649,-124.4711,1.404
2.9319,29.1,5.671,0.9193,253,1.7191,34.6517,-120.6601,2.08
11.6167,25.8,3.8556,1.2701,2281,2.1465,38.6291,-123.0427,5.0
6.7069,34.0,7.5148,1.3894,899,5.7175,34.1565,-117.2583,3.578
3.0722,45.2,8.0204,2.3612,10189,1.3398,39.0639,-119.4702,2.711
3.3614,25.4,3.8885,0.8188,510,4.6126,36.174,-121.3315,1.888
1.6787,24.7,7.5948,1.8532,261,3.0423,41.3989,-119.5878,1.782
2.117,41.7,8.4649,1.2818,320,1.7609,33.8064,-122.2989,1.782
3.0142,40.7,2.165,0.6782,704,3.6004,35.7401,-114.7866,3.147
3.0206,22.0,6.9857,2.3905,209,1.0466,33.578,-123.9333,1.724
5.5153,12.2,3.6485,0.6373,437,1.2346,41.2846,-115.4131,3.382
5.3306,7.4,8.4166,1.5864,206,1.5154,40.8347,-119.1307,2.936
3.9134,29.6,3.5958,0.5914,327,2.5011,34.9504,-118.0011,3.177
1.3507,14.7,6.3141,1.0468,332,2.798,38.7698,-121.3226,1.82
1.3868,38.8,2.4503,0.6367,1073,2.2762,40.2636,-114.3497,3.112
1.4601,7.4,7.7385,1.4143,485,2.7092,37.7744,-121.5406,1.819
3.2055,47.4,5.1008,0.991,520,1.6517,37.5317,-118.3168,2.958
0.6581,24.0,8.3022,1.9948,374,7.999,34.7976,-114.0691,2.212
2.7064,18.4,3.7188,0.9153,143,2.2709,33.3845,-115.2485,2.549
7.2867,21.5,5.394,1.1194,319,1.0,41.0235,-118.8685,4.06
4.3352,17.6,9.0941,3.1491,2987,3.3139,41.054,-114.1011,3.286
2.1265,46.2,4.9023,0.8464,166,1.8917,38.5145,-117.1356,2.172
1.6673,36.1,5.8818,1.1075,460,1.6961,35.7208,-122.3086,1.101
4.7779,29.2,6.5518,1.5451,258,2.7312,35.8175,-120.2412,3.252
3.3677,13.6,2.6623,0.5538,1012,3.2427,39.3966,-120.9878,2.201
2.2876,27.3,4.0211,1.273,343,2.4355,41.0225,-120.8879,1.601
1.7998,18.8,7.808,1.4474,786,3.1877,40.9273,-116.5152,2.099
2.8676,1.0,2.1835,0.6396,2001,1.9385,39.9088,-118.3652,1.78
2.1987,19.7,7.7464,1.357,610,4.3276,38.5993,-124.1,2.242
4.7071,35.3,3.9138,0.7968,335,2.9834,33.2993,-115.2868,3.397
6.4806,22.9,11.2696,3.3582,2537,1.4975,34.0355,-121.3836,3.565
1.0439,26.3,5.8988,0.9897,463,3.2586,41.0363,-114.0307,2.064
1.1525,40.5,3.5959,1.1922,1187,2.4346,38.2611,-114.481,2.709
6.9841,38.3,7.3286,1.5704,396,1.7121,32.5874,-114.6244,3.957
3.0528,51.5,8.7872,1.905,1278,1.4253,33.464,-115.9832,2.499
1.231,1.7,6.3071,1.2418,1357,1.2089,38.8033,-122.1836,1.992
5.4101,17.9,4.1439,1.3438,3464,4.4078,32.5481,-118.9074,2.676
3.4528,38.9,8.8049,2.4476,461,2.923,34.0277,-122.1448,2.177
12.7085,33.2,3.4159,0.5425,1954,2.2899,37.713,-121.7734,5.0
2.3055,29.2,7.6035,2.5327,1349,4.9828,39.073,-118.085,1.892
5.9067,20.7,1.8902,0.6357,549,6.577,38.6936,-124.0712,2.885
0.9859,30.7,5.1917,1.3501,247,3.589,34.6306,-114.3207,2.236
7.2226,30.0,3.9619,0.8439,133,2.9789,39.2657,-114.8539,4.456
5.2641,5.8,2.8606,0.5211,531,2.8004,34.7539,-120.5019,2.71
8.3565,30.6,8.3474,1.6883,392,3.8543,35.5913,-119.0881,4.061
5.9145,21.8,2.0983,0.6825,726,2.5422,39.5917,-119.6057,3.699
2.5362,38.1,8.6152,1.6479,332,1.0972,38.6715,-115.2369,2.544
1.1975,32.1,2.6829,0.5,1304,2.0915,40.5676,-117.2697,1.429
1.7835,51.5,7.5484,1.6265,519,2.072,38.7473,-121.5798,1.589
0.7923,28.0,3.6265,0.7627,764,1.8948,37.8989,-119.8082,2.862
1.4267,14.9,2.2671,0.6756,144,3.0953,33.3899,-119.9959,1.34
3.6623,1.0,4.1325,0.9373,654,1.0,35.9933,-114.427,3.099
2.6289,16.7,6.2062,1.1835,1647,1.0782,35.0194,-122.6592,1.505
2.3245,32.5,3.4579,0.6183,513,2.6265,34.8179,-123.5594,1.495
1.5602,35.6,5.4964,1.3694,121,2.5855,41.7436,-115.2535,2.745
0.7861,20.7,6.5268,2.216,447,2.538,36.2344,-115.0848,2.676
3.0878,22.8,8.9999,2.0964,1761,2.051,40.9744,-115.3467,2.261
3.5446,28.8,5.0799,0.7994,160,2.8059,38.4958,-119.1347,2.587
1.3579,32.6,7.8955,1.6164,44,2.0976,40.0507,-117.5727,2.827
1.8712,40.2,6.9567,1.5004,620,3.3049,37.2751,-118.5847,2.361
8.0004,20.9,4.7734,1.3074,163,1.0,37.9806,-123.7708,3.412
6.1205,19.1,7.837,2.5355,118,2.4451,37.1789,-118.2437,3.715
0.9617,52.0,7.0825,2.4281,598,2.6136,34.3548,-124.3571,1.296
2.5619,49.4,4.6346,0.9131,3076,1.2683,39.3633,-121.0876,3.059
7.5268,21.6,6.5889,2.1133,368,1.0171,35.1673,-114.7109,4.382
2.3362,41.7,5.5217,0.9332,129,2.3889,32.731,-121.3075,1.873
2.2518,52.0,6.1671,1.6202,61,1.4987,38.632,-114.6318,2.652
5.8411,43.8,10.5181,2.3051,802,1.7319,34.1826,-121.8736,3.224
5.4246,18.8,3.5905,0.6261,821,3.1049,41.4344,-121.1971,2.973
5.2316,29.3,5.4842,1.0361,568,2.8291,41.5623,-117.9017,2.724
2.2628,7.0,5.014,1.0216,1710,3.5229,41.1912,-116.5029,2.385
4.3233,16.4,6.7889,1.9921,1516,6.2447,36.0165,-119.2354,3.5
7.7394,27.8,4.134,1.4391,212,2.9915,32.6468,-115.2378,4.299
2.625,30.6,3.9489,0.6176,2000,4.5801,41.319,-124.0775,1.838
2.0495,19.7,4.8272,1.4955,720,1.9208,36.5677,-114.817,2.242
6.4305,1.0,5.9896,1.511,452,1.1964,41.6832,-122.4388,2.865
11.3794,30.3,4.1254,0.7146,197,1.3092,41.6544,-115.2155,4.92
11.9473,36.7,1.7129,0.5,266,1.219,40.6036,-120.2909,5.0
2.0914,37.2,3.3843,0.7959,218,3.299,35.2973,-115.7561,2.628
2.2438,25.5,8.7215,2.5716,2607,6.3325,36.1584,-117.4475,2.338
1.3226,26.4,9.196,1.8224,426,1.877,40.5858,-122.6526,1.524
2.9525,31.0,4.0613,1.1287,698,1.0,35.5108,-114.8605,3.368
1.2816,32.9,10.1654,2.0811,78,2.4046,34.1102,-121.9221,1.48
1.8802,26.9,4.3465,1.3687,196,2.1897,37.7896,-121.9365,2.17
4.4406,1.0,2.6805,0.566,312,1.5492,41.3935,-115.9511,2.983
3.5715,44.8,4.3823,1.3782,4730,3.4306,39.1123,-123.3883,2.498
0.7653,22.4,6.6204,1.419,489,1.8933,37.9156,-122.1686,1.507
8.1597,13.3,3.9506,1.026,475,2.6898,33.4232,-119.2114,4.567
1.2701,23.3,6.305,1.9431,166,2.9367,38.3426,-115.78,1.99
1.3873,29.3,5.5111,0.9327,348,2.4924,41.9055,-122.9514,1.601
1.142,20.7,4.4169,0.8104,350,2.116,33.8308,-118.7495,1.551
1.711,21.5,6.7567,2.3062,1982,2.4381,37.4241,-117.032,2.498
1.451,24.1,8.0983,1.5086,63,1.749,40.835,-115.4638,2.422
1.4759,32.3,5.3265,1.7548,116,2.6262,39.5373,-114.6766,2.491
0.5,18.4,6.2707,1.5852,795,2.9509,39.1216,-116.2613,2.45
2.9771,32.0,2.766,0.5,1402,1.4471,39.1736,-117.6453,2.41
3.1977,11.4,8.6418,2.1206,249,1.6924,35.9152,-119.947,2.877
13.08,52.0,4.002,1.0489,2078,2.2049,35.2891,-123.3228,5.0
3.8207,40.9,3.509,0.6348,569,1.9031,40.1889,-117.0478,3.22
1.9201,24.7,7.0618,2.1393,209,1.622,40.1961,-114.0763,3.174
1.1729,32.0,4.2481,0.7363,180,2.4824,40.7372,-116.764,1.522
2.5411,14.0,3.7521,0.6401,843,3.0374,41.1758,-124.3245,1.479
3.7214,34.7,4.4042,1.1656,1108,1.0,37.3578,-119.2893,3.092
1.9111,38.1,3.0453,0.9646,54,2.7052,37.2644,-118.0462,2.276
2.8369,31.2,3.7362,1.0197,350,3.6966,40.0838,-117.2584,2.393
10.2589,38.8,7.4552,1.1875,130,1.4611,38.6747,-116.9429,5.0
2.0774,27.9,7.8956,1.8749,640,4.0532,39.1687,-118.6399,1.923
0.7256,26.8,5.0844,1.4968,554,3.126,40.06,-122.1547,1.611
5.01,20.1,3.7743,0.7651,447,1.5941,40.9551,-114.6069,3.723
3.3873,34.7,5.8446,1.6908,6303,1.5348,35.711,-117.185,2.809
0.8218,18.0,2.3197,0.5308,2875,2.4781,36.068,-122.0132,1.185
3.6669,33.0,7.9121,2.7155,945,2.0041,33.3928,-121.1156,1.971
1.3519,31.6,4.817,1.1889,247,1.841,37.9937,-114.8198,2.483
3.7022,44.1,3.2748,1.0477,272,5.6231,32.8415,-115.1814,2.655
10.3303,35.0,8.9787,1.9727,2248,3.6922,36.9232,-120.246,5.0
2.4016,6.9,5.0381,1.5012,173,1.9069,37.6551,-124.0978,1.728
5.8025,20.0,4.1767,0.8991,843,2.7925,35.2221,-123.9908,3.397
1.1503,19.7,11.2441,2.3268,4660,2.5573,38.1129,-121.5189,0.778
0.9384,19.2,4.0142,0.743,121,3.2836,32.7898,-117.8942,1.487
11.158,39.6,6.6823,1.8583,2153,2.2795,32.8548,-118.366,5.0
3.3719,1.6,6.5359,1.6062,1236,4.3949,40.3147,-117.8448,2.069
4.2447,45.1,3.529,0.7839,923,4.7424,35.9218,-116.9685,3.256
6.0886,40.0,4.6839,0.7545,853,2.4026,33.7071,-124.3002,2.686
1.8786,30.2,4.4781,1.2622,888,2.9801,37.4613,-123.3966,2.255
4.8432,32.2,2.4432,0.7015,1052,3.3484,39.8149,-120.7254,2.614
4.3557,28.9,2.2578,0.5,365,2.423,34.5503,-122.874,2.343
1.0982,29.9,2.0744,0.5847,1030,2.2209,38.4175,-123.7091,1.379
7.8388,41.5,4.1375,1.349,406,3.0434,33.3108,-117.7699,3.442
6.7856,25.3,3.329,0.7309,289,2.6635,32.991,-115.939,4.147
1.1067,35.2,3.4121,1.003,442,4.5427,37.5479,-116.5974,1.896
3.1274,17.5,4.1858,1.3357,508,2.8415,37.636,-115.9211,2.791
2.3123,34.4,4.9603,1.1783,3789,5.1242,38.5556,-117.5085,2.236
7.3362,24.7,4.3707,0.7902,2033,1.5351,39.3979,-116.7789,3.743
1.0127,33.1,3.7364,0.5898,778,2.0355,41.7706,-121.6463,1.086
15.0,17.6,10.7229,3.195,165,1.9527,37.4049,-114.0734,5.0
2.4057,33.4,4.5702,1.1634,286,2.2287,35.5681,-122.5768,2.084
4.5581,27.4,7.3843,1.3673,3485,2.1439,40.0543,-122.2478,3.469
7.1796,46.8,3.0204,0.5,184,1.2516,35.0729,-121.4663,3.733
2.3698,31.1,8.4492,1.9884,1308,4.0214,36.6702,-114.259,2.918
2.5081,33.9,3.9773,0.9382,353,2.447,33.2453,-114.123,2.86
1.9117,22.7,15.1899,5.0,1217,2.2799,32.7408,-116.1536,2.432
1.4625,31.7,2.9308,0.5215,780,2.3755,41.6452,-117.8949,1.828
3.2881,33.7,3.2323,0.6054,795,2.4457,40.4418,-119.0393,2.119
2.4727,23.7,4.5929,1.5647,224,2.1135,39.1118,-114.3085,3.143
1.903,22.8,4.2976,0.7243,963,1.2982,36.3851,-117.196,3.167
1.9824,18.3,3.0986,0.971,638,2.823,34.1463,-114.5803,2.801
4.0689,27.1,8.9314,2.8204,547,2.5811,33.9862,-121.1762,3.283
1.5554,20.2,8.5635,1.6617,298,2.7327,34.8773,-120.9954,1.614
2.2867,31.5,4.3225,0.9611,427,1.6257,37.7177,-115.5254,2.425
5.0991,18.5,7.4176,2.4654,239,2.8208,39.2887,-122.9265,2.676
3.2319,26.5,8.7484,2.4272,474,1.0,38.7719,-114.5678,2.979
1.3038,16.7,4.934,1.5694,1048,5.8953,35.1594,-119.1715,2.297
2.6732,41.7,3.7891,1.1901,155,3.4239,41.5712,-114.7727,2.65
3.6911,28.3,8.2708,2.0939,646,1.843,39.51,-120.9637,1.99
5.433,28.2,7.7714,1.2653,367,6.2681,37.7664,-116.9824,3.557
1.602,35.1,3.0002,0.7735,2356,2.225,38.3113,-119.4298,2.262
1.8386,49.3,8.727,1.3574,452,1.2704,36.4862,-117.9186,2.532
1.6709,29.0,3.2935,0.7093,611,1.2352,34.8534,-119.2041,1.852
1.73,10.1,5.764,1.0116,971,1.5197,35.8817,-114.3453,2.794
3.6093,42.2,3.5736,0.8366,3657,3.4519,39.6995,-117.2329,2.443
4.1212,11.7,5.289,0.8916,970,2.7161,32.6367,-121.8612,2.087
5.6725,22.0,5.1875,1.1949,7277,4.3636,33.6027,-114.9484,2.838
2.5502,42.3,12.0958,1.8961,2106,4.1942,32.937,-121.4127,2.161
1.0164,24.0,2.5889,0.5527,594,4.6297,32.8869,-120.5981,1.32
4.3433,21.1,3.6392,0.8353,42,1.9116,40.6269,-123.4277,2.346
3.0386,31.4,4.1117,0.7935,315,2.3157,39.1847,-115.0504,3.144
2.8348,28.1,5.6494,1.9315,1269,1.643,37.0047,-121.4958,2.196
1.107,19.7,4.3719,0.9099,188,3.2799,33.4294,-121.7814,1.282
2.3701,38.5,2.0561,0.5592,95,1.426,37.1704,-114.8372,3.127
1.1787,42.7,6.6512,1.3689,862,3.0591,36.998,-116.042,2.551
